ip,port,country,anonymity,type,speed,uptime,fetched_at
192.252.211.197,14921,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
103.65.237.92,5678,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
142.54.231.38,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
184.170.245.148,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
161.35.70.249,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
104.200.152.30,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
199.58.185.9,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
117.161.170.163,9067,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
98.188.47.150,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
182.253.109.211,8080,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
98.188.47.132,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
170.244.26.195,8888,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.73.244.36,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
68.71.249.153,48606,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
68.71.243.14,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
68.71.254.6,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
198.177.253.13,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
104.200.135.46,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
184.170.248.5,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
68.71.245.206,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
203.25.208.163,1111,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
98.190.239.3,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
98.182.171.161,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
198.177.254.131,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
41.230.216.70,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
142.54.239.1,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
68.71.247.130,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.111.135.18,18301,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
206.220.175.2,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
141.101.90.96,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
70.166.167.38,57728,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
72.207.109.5,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
68.71.241.33,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
32.223.6.94,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
199.102.106.94,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
125.228.94.153,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.252.210.233,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
66.42.224.229,41679,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
198.8.94.170,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
47.83.192.255,8888,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
199.229.254.129,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
